"Year","State.Territory","Affiliation","Sex","Student.Type","Total.count"
2019,"NSW","Government","Male","Indigenous",36
2019,"NSW","Government","Male","Indigenous",2018
2019,"NSW","Government","Male","Indigenous",1036
2019,"NSW","Government","Male","Indigenous",10
2019,"NSW","Government","Male","Indigenous",19
2019,"NSW","Government","Male","Indigenous",1980
2019,"NSW","Government","Male","Indigenous",967
2019,"NSW","Government","Male","Indigenous",4
2019,"NSW","Government","Male","Indigenous",24
2019,"NSW","Government","Male","Indigenous",1868
2019,"NSW","Government","Male","Indigenous",895
2019,"NSW","Government","Male","Indigenous",7
2019,"NSW","Government","Male","Indigenous",21
2019,"NSW","Government","Male","Indigenous",1748
2019,"NSW","Government","Male","Indigenous",825
2019,"NSW","Government","Male","Indigenous",14
2019,"NSW","Government","Male","Indigenous",1773
2019,"NSW","Government","Male","Indigenous",747
2019,"NSW","Government","Male","Indigenous",20
2019,"NSW","Government","Male","Indigenous",1794
2019,"NSW","Government","Male","Indigenous",716
2019,"NSW","Government","Male","Indigenous",6
2019,"NSW","Government","Male","Indigenous",27
2019,"NSW","Government","Male","Indigenous",1789
2019,"NSW","Government","Male","Indigenous",791
2019,"NSW","Government","Male","Indigenous",6
2019,"NSW","Government","Male","Indigenous",54
2019,"NSW","Government","Male","Indigenous",124
2019,"NSW","Government","Male","Indigenous",136
2019,"NSW","Government","Male","Indigenous",162
2019,"NSW","Government","Male","Indigenous",217
2019,"NSW","Government","Male","Indigenous",260
2019,"NSW","Government","Male","Indigenous",264
2019,"NSW","Government","Male","Indigenous",83
2019,"NSW","Government","Male","Indigenous",25
2019,"NSW","Government","Male","Indigenous",1713
2019,"NSW","Government","Male","Indigenous",681
2019,"NSW","Government","Male","Indigenous",8
2019,"NSW","Government","Male","Indigenous",22
2019,"NSW","Government","Male","Indigenous",1602
2019,"NSW","Government","Male","Indigenous",692
2019,"NSW","Government","Male","Indigenous",9
2019,"NSW","Government","Male","Indigenous",19
2019,"NSW","Government","Male","Indigenous",1525
2019,"NSW","Government","Male","Indigenous",650
2019,"NSW","Government","Male","Indigenous",15
2019,"NSW","Government","Male","Indigenous",16
2019,"NSW","Government","Male","Indigenous",1399
2019,"NSW","Government","Male","Indigenous",675
2019,"NSW","Government","Male","Indigenous",17
2019,"NSW","Government","Male","Indigenous",3
2019,"NSW","Government","Male","Indigenous",221
2019,"NSW","Government","Male","Indigenous",359
2019,"NSW","Government","Male","Indigenous",390
2019,"NSW","Government","Male","Indigenous",328
2019,"NSW","Government","Male","Indigenous",260
2019,"NSW","Government","Male","Indigenous",177
2019,"NSW","Government","Male","Indigenous",71
2019,"NSW","Government","Male","Indigenous",8
2019,"NSW","Government","Male","Indigenous",7
2019,"NSW","Government","Male","Indigenous",918
2019,"NSW","Government","Male","Indigenous",354
2019,"NSW","Government","Male","Indigenous",13
2019,"NSW","Government","Male","Indigenous",12
2019,"NSW","Government","Male","Indigenous",586
2019,"NSW","Government","Male","Indigenous",246
2019,"NSW","Government","Male","Indigenous",7
2019,"NSW","Government","Male","Non-Indigenous",513
2019,"NSW","Government","Male","Non-Indigenous",23585
2019,"NSW","Government","Male","Non-Indigenous",9173
2019,"NSW","Government","Male","Non-Indigenous",26
2019,"NSW","Government","Male","Non-Indigenous",430
2019,"NSW","Government","Male","Non-Indigenous",24237
2019,"NSW","Government","Male","Non-Indigenous",9413
2019,"NSW","Government","Male","Non-Indigenous",17
2019,"NSW","Government","Male","Non-Indigenous",486
2019,"NSW","Government","Male","Non-Indigenous",23927
2019,"NSW","Government","Male","Non-Indigenous",8916
2019,"NSW","Government","Male","Non-Indigenous",18
2019,"NSW","Government","Male","Non-Indigenous",473
2019,"NSW","Government","Male","Non-Indigenous",23571
2019,"NSW","Government","Male","Non-Indigenous",8811
2019,"NSW","Government","Male","Non-Indigenous",17
2019,"NSW","Government","Male","Non-Indigenous",388
2019,"NSW","Government","Male","Non-Indigenous",23708
2019,"NSW","Government","Male","Non-Indigenous",8249
2019,"NSW","Government","Male","Non-Indigenous",26
2019,"NSW","Government","Male","Non-Indigenous",453
2019,"NSW","Government","Male","Non-Indigenous",23341
2019,"NSW","Government","Male","Non-Indigenous",7696
2019,"NSW","Government","Male","Non-Indigenous",39
2019,"NSW","Government","Male","Non-Indigenous",445
2019,"NSW","Government","Male","Non-Indigenous",23188
2019,"NSW","Government","Male","Non-Indigenous",7978
2019,"NSW","Government","Male","Non-Indigenous",56
2019,"NSW","Government","Male","Non-Indigenous",19
2019,"NSW","Government","Male","Non-Indigenous",394
2019,"NSW","Government","Male","Non-Indigenous",795
2019,"NSW","Government","Male","Non-Indigenous",820
2019,"NSW","Government","Male","Non-Indigenous",957
2019,"NSW","Government","Male","Non-Indigenous",1011
2019,"NSW","Government","Male","Non-Indigenous",1076
2019,"NSW","Government","Male","Non-Indigenous",1083
2019,"NSW","Government","Male","Non-Indigenous",360
2019,"NSW","Government","Male","Non-Indigenous",7
2019,"NSW","Government","Male","Non-Indigenous",401
2019,"NSW","Government","Male","Non-Indigenous",19010
2019,"NSW","Government","Male","Non-Indigenous",6500
2019,"NSW","Government","Male","Non-Indigenous",58
2019,"NSW","Government","Male","Non-Indigenous",3
2019,"NSW","Government","Male","Non-Indigenous",347
2019,"NSW","Government","Male","Non-Indigenous",18266
2019,"NSW","Government","Male","Non-Indigenous",6366
2019,"NSW","Government","Male","Non-Indigenous",69
2019,"NSW","Government","Male","Non-Indigenous",395
2019,"NSW","Government","Male","Non-Indigenous",17697
2019,"NSW","Government","Male","Non-Indigenous",6151
2019,"NSW","Government","Male","Non-Indigenous",90
2019,"NSW","Government","Male","Non-Indigenous",3
2019,"NSW","Government","Male","Non-Indigenous",397
2019,"NSW","Government","Male","Non-Indigenous",17203
2019,"NSW","Government","Male","Non-Indigenous",6626
2019,"NSW","Government","Male","Non-Indigenous",198
2019,"NSW","Government","Male","Non-Indigenous",36
2019,"NSW","Government","Male","Non-Indigenous",24
2019,"NSW","Government","Male","Non-Indigenous",19
2019,"NSW","Government","Male","Non-Indigenous",46
2019,"NSW","Government","Male","Non-Indigenous",3
2019,"NSW","Government","Male","Non-Indigenous",70
2019,"NSW","Government","Male","Non-Indigenous",994
2019,"NSW","Government","Male","Non-Indigenous",1490
2019,"NSW","Government","Male","Non-Indigenous",1517
2019,"NSW","Government","Male","Non-Indigenous",1563
2019,"NSW","Government","Male","Non-Indigenous",1344
2019,"NSW","Government","Male","Non-Indigenous",1031
2019,"NSW","Government","Male","Non-Indigenous",444
2019,"NSW","Government","Male","Non-Indigenous",59
2019,"NSW","Government","Male","Non-Indigenous",11
2019,"NSW","Government","Male","Non-Indigenous",41
2019,"NSW","Government","Male","Non-Indigenous",330
2019,"NSW","Government","Male","Non-Indigenous",14768
2019,"NSW","Government","Male","Non-Indigenous",5194
2019,"NSW","Government","Male","Non-Indigenous",236
2019,"NSW","Government","Male","Non-Indigenous",32
2019,"NSW","Government","Male","Non-Indigenous",17
2019,"NSW","Government","Male","Non-Indigenous",26
2019,"NSW","Government","Male","Non-Indigenous",298
2019,"NSW","Government","Male","Non-Indigenous",11771
2019,"NSW","Government","Male","Non-Indigenous",4315
2019,"NSW","Government","Male","Non-Indigenous",235
2019,"NSW","Government","Male","Non-Indigenous",46
2019,"NSW","Government","Male","Non-Indigenous",36
2019,"NSW","Government","Female","Indigenous",29
2019,"NSW","Government","Female","Indigenous",2011
2019,"NSW","Government","Female","Indigenous",662
2019,"NSW","Government","Female","Indigenous",3
2019,"NSW","Government","Female","Indigenous",32
2019,"NSW","Government","Female","Indigenous",2046
2019,"NSW","Government","Female","Indigenous",705
2019,"NSW","Government","Female","Indigenous",48
2019,"NSW","Government","Female","Indigenous",1983
2019,"NSW","Government","Female","Indigenous",642
2019,"NSW","Government","Female","Indigenous",44
2019,"NSW","Government","Female","Indigenous",1905
2019,"NSW","Government","Female","Indigenous",595
2019,"NSW","Government","Female","Indigenous",5
2019,"NSW","Government","Female","Indigenous",39
2019,"NSW","Government","Female","Indigenous",2021
2019,"NSW","Government","Female","Indigenous",570
2019,"NSW","Government","Female","Indigenous",5
2019,"NSW","Government","Female","Indigenous",26
2019,"NSW","Government","Female","Indigenous",1954
2019,"NSW","Government","Female","Indigenous",575
2019,"NSW","Government","Female","Indigenous",4
2019,"NSW","Government","Female","Indigenous",33
2019,"NSW","Government","Female","Indigenous",1985
2019,"NSW","Government","Female","Indigenous",624
2019,"NSW","Government","Female","Indigenous",6
2019,"NSW","Government","Female","Indigenous",14
2019,"NSW","Government","Female","Indigenous",29
2019,"NSW","Government","Female","Indigenous",34
2019,"NSW","Government","Female","Indigenous",60
2019,"NSW","Government","Female","Indigenous",76
2019,"NSW","Government","Female","Indigenous",75
2019,"NSW","Government","Female","Indigenous",95
2019,"NSW","Government","Female","Indigenous",32
2019,"NSW","Government","Female","Indigenous",34
2019,"NSW","Government","Female","Indigenous",1966
2019,"NSW","Government","Female","Indigenous",568
2019,"NSW","Government","Female","Indigenous",3
2019,"NSW","Government","Female","Indigenous",31
2019,"NSW","Government","Female","Indigenous",1771
2019,"NSW","Government","Female","Indigenous",498
2019,"NSW","Government","Female","Indigenous",6
2019,"NSW","Government","Female","Indigenous",41
2019,"NSW","Government","Female","Indigenous",1643
2019,"NSW","Government","Female","Indigenous",512
2019,"NSW","Government","Female","Indigenous",12
2019,"NSW","Government","Female","Indigenous",25
2019,"NSW","Government","Female","Indigenous",1432
2019,"NSW","Government","Female","Indigenous",545
2019,"NSW","Government","Female","Indigenous",15
2019,"NSW","Government","Female","Indigenous",3
2019,"NSW","Government","Female","Indigenous",73
2019,"NSW","Government","Female","Indigenous",134
2019,"NSW","Government","Female","Indigenous",124
2019,"NSW","Government","Female","Indigenous",131
2019,"NSW","Government","Female","Indigenous",117
2019,"NSW","Government","Female","Indigenous",77
2019,"NSW","Government","Female","Indigenous",25
2019,"NSW","Government","Female","Indigenous",27
2019,"NSW","Government","Female","Indigenous",1148
2019,"NSW","Government","Female","Indigenous",349
2019,"NSW","Government","Female","Indigenous",11
2019,"NSW","Government","Female","Indigenous",16
2019,"NSW","Government","Female","Indigenous",751
2019,"NSW","Government","Female","Indigenous",235
2019,"NSW","Government","Female","Indigenous",6
2019,"NSW","Government","Female","Non-Indigenous",656
2019,"NSW","Government","Female","Non-Indigenous",24402
2019,"NSW","Government","Female","Non-Indigenous",6601
2019,"NSW","Government","Female","Non-Indigenous",14
2019,"NSW","Government","Female","Non-Indigenous",568
2019,"NSW","Government","Female","Non-Indigenous",24821
2019,"NSW","Government","Female","Non-Indigenous",6498
2019,"NSW","Government","Female","Non-Indigenous",16
2019,"NSW","Government","Female","Non-Indigenous",679
2019,"NSW","Government","Female","Non-Indigenous",24665
2019,"NSW","Government","Female","Non-Indigenous",6242
2019,"NSW","Government","Female","Non-Indigenous",16
2019,"NSW","Government","Female","Non-Indigenous",613
2019,"NSW","Government","Female","Non-Indigenous",24587
2019,"NSW","Government","Female","Non-Indigenous",6154
2019,"NSW","Government","Female","Non-Indigenous",24
2019,"NSW","Government","Female","Non-Indigenous",678
2019,"NSW","Government","Female","Non-Indigenous",24459
2019,"NSW","Government","Female","Non-Indigenous",5771
2019,"NSW","Government","Female","Non-Indigenous",12
2019,"NSW","Government","Female","Non-Indigenous",641
2019,"NSW","Government","Female","Non-Indigenous",24276
2019,"NSW","Government","Female","Non-Indigenous",5647
2019,"NSW","Government","Female","Non-Indigenous",15
2019,"NSW","Government","Female","Non-Indigenous",646
2019,"NSW","Government","Female","Non-Indigenous",24109
2019,"NSW","Government","Female","Non-Indigenous",5566
2019,"NSW","Government","Female","Non-Indigenous",21
2019,"NSW","Government","Female","Non-Indigenous",6
2019,"NSW","Government","Female","Non-Indigenous",148
2019,"NSW","Government","Female","Non-Indigenous",255
2019,"NSW","Government","Female","Non-Indigenous",251
2019,"NSW","Government","Female","Non-Indigenous",318
2019,"NSW","Government","Female","Non-Indigenous",310
2019,"NSW","Government","Female","Non-Indigenous",375
2019,"NSW","Government","Female","Non-Indigenous",445
2019,"NSW","Government","Female","Non-Indigenous",123
2019,"NSW","Government","Female","Non-Indigenous",579
2019,"NSW","Government","Female","Non-Indigenous",19596
2019,"NSW","Government","Female","Non-Indigenous",4691
2019,"NSW","Government","Female","Non-Indigenous",30
2019,"NSW","Government","Female","Non-Indigenous",530
2019,"NSW","Government","Female","Non-Indigenous",18730
